Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-09 22:27:11,disease_Strawberry,100,30,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:12,disease_Strawberry,100,full,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:13,disease_Strawberry,200,10,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:14,disease_Strawberry,200,20,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:15,disease_Strawberry,200,30,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:16,disease_Strawberry,200,full,gini,0.9893617021276596,0.9893266712459129,1095,1864
2026-03-09 22:27:17,disease_Strawberry,300,10,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:19,disease_Strawberry,300,20,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:20,disease_Strawberry,300,30,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:22,disease_Strawberry,300,full,gini,0.9914893617021276,0.9914708130672322,1095,1864
2026-03-09 22:27:28,disease_Tomato,50,10,gini,0.8977606461086637,0.8977660627503598,12712,1864
2026-03-09 22:27:34,disease_Tomato,50,20,gini,0.9150146842878121,0.9143089520451062,12712,1864
2026-03-09 22:27:41,disease_Tomato,50,30,gini,0.9128120411160059,0.91218663887075,12712,1864
2026-03-09 22:27:47,disease_Tomato,50,full,gini,0.9128120411160059,0.91218663887075,12712,1864
2026-03-09 22:27:58,disease_Tomato,100,10,gini,0.9040014684287812,0.90412203936854,12712,1864
2026-03-09 22:28:11,disease_Tomato,100,20,gini,0.9218061674008811,0.9212254435232938,12712,1864
2026-03-09 22:28:24,disease_Tomato,100,30,gini,0.9236417033773862,0.923080859995078,12712,1864
2026-03-09 22:28:36,disease_Tomato,100,full,gini,0.9236417033773862,0.923080859995078,12712,1864
2026-03-09 22:28:57,disease_Tomato,200,10,gini,0.9074889867841409,0.907554748265923,12712,1864
